Club,Income (2011-12)
Arsenal,245
Aston Villa,80
Blackburn Rovers,54
Bolton Wanderers,65
Chelsea,261
Everton,81
Fulham,79
Liverpool,169
Manchester City,231
Manchester United,320
Newcastle United,93
Norwich City,75
Queens Park Rangers,64
Stoke City,71
Sunderland,78
Swansea City,65
Tottenham Hotspur,144
West Bromwich Albion,67
Wigan Athletic,53
Wolverhampton Wanderers,60
